BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,ADJ_LABEL,ADJ_LABEL2,ADJ_LABEL3,ADJ_COMMENTS,ADJ_ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111_0,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call_0,0,operator,"Good morning, everyone, and welcome to Lowe's Companies' fourth-quarter 2013 earnings conference call.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111_2,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call_2,2,operator,(Operator Instructions),,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111_3,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call_3,3,operator,"Also, supplemental reference slides are available on Lowe's Investor Relations website within the Investor packet.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111_4,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call_4,4,operator,"While management will not be speaking directly to the slides, these slides are meant to facilitate your review of the Company's results, and to be used as a reference document following the call.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111_6,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call_6,6,operator,"The supplemental reference slides include information about these measures, and a reconciliation to the most directly comparable GAAP financial measures.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111_8,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call_8,8,operator,"Management's expectations and opinions reflected in those statements are subject to risks, and the Company can give no assurance that they will prove to be correct.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111_9,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call_9,9,operator,"Those risks are described in the Company's earnings release, and in its filings with the Securities and Exchange Commission.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111_10,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call_10,10,operator,"Hosting today's conference will be Mr. Robert Niblock, Chairman, President, and Chief Executive Officer; Mr. Greg Bridgeford, Chief Customer Officer; and Mr. Bob Hull, Chief Financial Officer.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111_11,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call_11,11,operator,I will now turn the program over to Mr. Niblock for opening remarks.,,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111,fafd0d6afa01610ffc970651235df26ee1df4111_12,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call_12,12,operator,"Please go ahead, sir.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q4_2013_Lowe`s_Companies_Earnings_Conference_Call
