ACCOUNTID,TRANSACTIONID,TRANSTYPE,AMOUNT,TRANSDATE,DESCRIPTION,TEXT
1,40012548,debit,600,2/18/2020,"HARDWARE , PURCHASE FOR POS hardware1",(Interpreted).,
1,40021325,debit,456,2/21/2020,"PETER ENGLAND CLOTHS,XYZ Outlet2","Ladies and gentlemen, good morning.",
1,40021328,credit,10,2/22/2020,"CREDIT POINTS PAYMENT,ABC CORP3",Good morning.
1,65015210,debit,232,2/22/2020,"CAR REPARING PAYMENT, ABC CORP4",We're delighted as always to have you this morning with Christophe Cros.
1,86945155,debit,175,2/18/2020,"AUTO PAYMENT OF MOBILE BILLS,Airtel5",We are going to present the 2015 annual results for Suez.
1,78645455,debit,456,2/21/2020,"WINE Purchase,PQR Shop6","First of all, I would like to thank those of you who came this morning and I would like to remind you that this presentation will be available through the webcast.",
1,79534555,credit,40,2/22/2020,"REVERSE TRANSACTION, ABC CORP7",You will be able to download it as well from the Group's -- the Company's website.
1,76552585,debit,999,2/22/2020,"AUTO LOAN PAYMENT,ABC BANK8","Before getting started and commenting on the Company's performance, I would like to remind you that the Suez's activities is trying to address the challenges of this century."
1,40012548,debit,600,2/18/2020,"HARDWARE , PURCHASE FOR POS hardware8",We are very much engaged in the resource revolution.
1,40021325,debit,456,2/21/2020,"PETER ENGLAND CLOTHS,XYZ Outlet10","During COP21, all players, both civil society, the corporate world were mobilized."
1,40021328,credit,10,2/22/2020,"CREDIT POINTS PAYMENT,ABC CORP11","It was a turning point, a decisive event, during which Suez was actively present."
1,65015210,debit,232,2/22/2020,"CAR REPARING PAYMENT, ABC CORP12",We're very proud to take part and feel that we can fully contribute by addressing the challenges of today's world with some of our technologies and solutions in order to save our planet.
1,86945155,debit,175,2/18/2020,"AUTO PAYMENT OF MOBILE BILLS,Airtel13",My presentation will be as follows.
1,78645455,debit,456,2/21/2020,"WINE Purchase,PQR Shop14",We will start off by a presentation on the 2015 performance.
1,79534555,credit,40,2/22/2020,"REVERSE TRANSACTION, ABC CORP15","And I can say that we are quite satisfied because we reached, even outperformed, our objectives."
1,76552585,debit,999,2/22/2020,"AUTO LOAN PAYMENT,ABC BANK16",This performance is based primarily on progress made by the Company in the commercial area.
1,40012548,debit,600,2/18/2020,"HARDWARE , PURCHASE FOR POS hardware17",We had a number of successes around the globe.
1,40021325,debit,456,2/21/2020,"PETER ENGLAND CLOTHS,XYZ Outlet18","The results are remarkable, especially given the fact that the global context has been much more complicated than initially anticipated at the beginning of 2015."
1,40021328,credit,10,2/22/2020,"CREDIT POINTS PAYMENT,ABC CORP19",Good morning.
1,65015210,debit,232,2/22/2020,"CAR REPARING PAYMENT, ABC CORP21","As for 2016, well, I feel confident."
1,86945155,debit,175,2/18/2020,"AUTO PAYMENT OF MOBILE BILLS,Airtel22",I feel confident because Suez is a very well-balanced company.
1,78645455,debit,456,2/21/2020,"WINE Purchase,PQR Shop23","However, I think we have to become more vigilant."
1,79534555,credit,40,2/22/2020,"REVERSE TRANSACTION, ABC CORP24","There are uncertainties, geopolitical uncertainties, emerging countries, the production crisis in Europe, and we have to remain cautious."
1,76552585,debit,999,2/22/2020,"AUTO LOAN PAYMENT,ABC BANK25","And for that reason, we've decided to accelerate the transformation of Suez to make it a more integrated company, to make it a company able to address sustainable requirements and needs and manage resources in a more sustainable way going forward."
1,40012548,debit,600,2/18/2020,"HARDWARE , PURCHASE FOR POS hardware26",I will wrap up by giving you an overview of our financial performance for 2015.
1,40021325,debit,456,2/21/2020,"PETER ENGLAND CLOTHS,XYZ Outlet27","So, before diving into the figures, I would like to come back to one important component of Suez's transformation throughout 2015."
1,40021328,credit,10,2/22/2020,"CREDIT POINTS PAYMENT,ABC CORP29","The name, as you know, the name is now shared by all."
1,65015210,debit,232,2/22/2020,"CAR REPARING PAYMENT, ABC CORP5",In the past we had 40 different brands.
1,86945155,debit,175,2/18/2020,"AUTO PAYMENT OF MOBILE BILLS,Ai4rtel",And this is a significant sign of progress.
1,78645455,debit,456,2/21/2020,"WINE Purchase,PQR Shop5",And we're now an integrated company and it is a sign for more collaboration between the employees.
1,79534555,credit,40,2/22/2020,"REVERSE TRANSACTION, AB6C CORP",And it is a sign as well of progress for our customers.
1,76552585,debit,999,2/22/2020,"AUTO LOAN PAYMENT,ABC BA7NK",Since March 2015 we have all become ambassadors of the Suez brand and we are all firmly committed to become a benchmark in the industry.
1,40012548,debit,600,2/18/2020,"HARDWARE , PURCHASE FOR P8OS hardware","Our visibility for the outside world has been significantly improved and increased, and we are already seeing benefits with recently signed contracts."
1,40021325,debit,456,2/21/2020,"PETER ENGLAND CLOTHS,XYZ O9utlet",I would like to comment on two important external growth that happened in 2015.
1,40021328,credit,10,2/22/2020,"CREDIT POINTS PAYMENT,ABC C2ORP","As you know, with the Chongqing authorities in China, we have an agreement."
1,65015210,debit,232,2/22/2020,"CAR REPARING PAYMENT, ABC CO1RP",This is a company which is active in both water and waste treatment.
1,86945155,debit,175,2/18/2020,"AUTO PAYMENT OF MOBILE BILLS,5Airtel","It is a very active region, the Sichuan region."
1,78645455,debit,456,2/21/2020,"WINE Purchase,PQR Shop36",But it's not limited to that region only.
1,79534555,credit,40,2/22/2020,"REVERSE TRANSACTION, ABC76 CORP",It's very active throughout China and in the region.
1,76552585,debit,999,2/22/2020,"AUTO LOAN PAYMENT,ABC BANK23","Another important operation is minority buyback of an Australian company, and with very good financial conditions."
1,40012548,debit,600,2/18/2020,"HARDWARE , PURCHASE FOR POS 36hardware","And with this, we're going to be able to deploy an integration strategy which is the same strategy we've deployed around the globe."
1,40021325,debit,456,2/21/2020,"PETER ENGLAND CLOTHS,XYZ Outle12t","This is the integration of our two activities, water and waste."
1,40021328,credit,10,2/22/2020,"CREDIT POINTS PAYMENT,ABC CORP32",And we're going to obtain synergies both in terms of cost and from the commercial standpoint.
1,65015210,debit,232,2/22/2020,"CAR REPARING PAYMENT, ABC CORP54","Regarding the financial performance in 2015, well, I can confirm that we have stuck to all our commitments."
1,86945155,debit,175,2/18/2020,"AUTO PAYMENT OF MOBILE BILLS,Air63tel",We were able to improve the Company's profitability.
